epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.3148,1.21159,2.59705,1.5345,0.60891,0.39076,0.43574,0.27754,1.181,1.93494,1.61638,0.000297059,0.000297059,0.000297059
2,80.8033,1.26416,1.89273,1.54541,0.5057,0.31143,0.31195,0.1658,1.36583,2.67279,1.89661,0.000596098,0.000596098,0.000596098
3,116.952,1.32467,1.83649,1.5905,0.42278,0.26664,0.27926,0.14419,1.57851,2.17407,2.07666,0.000891138,0.000891138,0.000891138
4,153.362,1.34572,1.8533,1.62377,0.5852,0.29564,0.2883,0.16097,1.58897,2.05962,1.97758,0.000891002,0.000891002,0.000891002
5,195.395,1.38827,1.89125,1.65405,0.32714,0.31664,0.26784,0.14612,1.68516,2.01186,2.11731,0.000885002,0.000885002,0.000885002
6,235.948,1.34702,1.84362,1.62854,0.49213,0.33052,0.36599,0.21795,1.55365,2.05617,1.91484,0.000879003,0.000879003,0.000879003
7,274.243,1.32555,1.73447,1.60512,0.63096,0.34043,0.36743,0.20296,1.53466,1.86215,1.9328,0.000873004,0.000873004,0.000873004
8,312.622,1.29229,1.7058,1.59408,0.61444,0.34228,0.32035,0.19885,1.3336,1.97187,1.78769,0.000867004,0.000867004,0.000867004
9,351.629,1.29243,1.69583,1.59092,0.51862,0.37423,0.3504,0.20942,1.30743,1.70634,1.70162,0.000861005,0.000861005,0.000861005
10,390.443,1.25468,1.61145,1.54347,0.52527,0.32541,0.34871,0.21044,1.26298,1.74541,1.69447,0.000855005,0.000855005,0.000855005
11,431.462,1.24124,1.62093,1.56282,0.56764,0.3864,0.36365,0.20778,1.44658,1.77766,1.83849,0.000849006,0.000849006,0.000849006
12,469.679,1.21493,1.55918,1.53565,0.60913,0.34946,0.3897,0.24461,1.30536,1.60445,1.76781,0.000843007,0.000843007,0.000843007
13,510.709,1.21551,1.50873,1.52066,0.70702,0.36118,0.39326,0.22734,1.31588,1.64144,1.78775,0.000837007,0.000837007,0.000837007
14,550.698,1.21036,1.524,1.50604,0.52229,0.38,0.41843,0.24227,1.34934,1.51068,1.81788,0.000831008,0.000831008,0.000831008
15,590.037,1.1856,1.42242,1.49332,0.62558,0.3615,0.39497,0.24673,1.30717,1.65635,1.71546,0.000825008,0.000825008,0.000825008
16,631.389,1.17906,1.45164,1.5037,0.52567,0.38527,0.40355,0.23315,1.23105,1.64793,1.67548,0.000819009,0.000819009,0.000819009
17,671.869,1.17423,1.43963,1.50268,0.55799,0.3584,0.3709,0.23421,1.24249,1.61558,1.68554,0.00081301,0.00081301,0.00081301
18,710.954,1.16374,1.4109,1.49096,0.57444,0.38044,0.38664,0.23428,1.28194,1.549,1.75087,0.00080701,0.00080701,0.00080701
19,749.904,1.12724,1.34777,1.46225,0.45972,0.36756,0.39351,0.22267,1.31566,1.5657,1.8024,0.000801011,0.000801011,0.000801011
20,788.576,1.12276,1.35149,1.45287,0.5535,0.35008,0.38815,0.24277,1.29899,1.54318,1.7111,0.000795011,0.000795011,0.000795011
21,828.214,1.1079,1.30781,1.43343,0.61456,0.38058,0.38663,0.23698,1.30603,1.60771,1.74438,0.000789012,0.000789012,0.000789012
22,867.708,1.08043,1.2688,1.4117,0.51531,0.40048,0.41417,0.26934,1.23886,1.47653,1.70702,0.000783013,0.000783013,0.000783013
23,906.503,1.06217,1.26943,1.40841,0.4506,0.43905,0.46488,0.301,1.27297,1.62698,1.67579,0.000777013,0.000777013,0.000777013
24,946.005,1.07376,1.24606,1.40674,0.57811,0.36008,0.43845,0.25789,1.21153,1.46961,1.60286,0.000771014,0.000771014,0.000771014
25,985.239,1.08415,1.24388,1.41869,0.50285,0.49406,0.45223,0.27681,1.26716,1.50567,1.68557,0.000765014,0.000765014,0.000765014
26,1024.23,1.07153,1.2512,1.42132,0.48728,0.40865,0.431,0.28475,1.20428,1.49806,1.63951,0.000759015,0.000759015,0.000759015
