epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.127,1.28735,3.06029,1.58222,0.81319,0.11044,0.20958,0.13886,1.11027,2.91942,1.55924,0.000297059,0.000297059,0.000297059
2,87.8398,1.33754,2.3378,1.61611,0.55179,0.28182,0.26731,0.15568,1.25631,2.23434,1.69956,0.000594118,0.000594118,0.000594118
3,129.363,1.33484,2.23095,1.62715,0.5816,0.22993,0.22561,0.1226,1.5182,2.22036,1.93007,0.000885178,0.000885178,0.000885178
4,171.1,1.37192,2.19242,1.64539,0.5866,0.29122,0.31894,0.17952,1.49953,1.98471,1.94225,0.000882003,0.000882003,0.000882003
5,213.593,1.36545,2.15079,1.64463,0.4855,0.32946,0.26291,0.1381,1.49135,2.00551,1.92642,0.000873004,0.000873004,0.000873004
6,254.763,1.32932,2.07443,1.61851,0.46431,0.30771,0.3017,0.17743,1.47318,2.00853,1.82692,0.000864004,0.000864004,0.000864004
7,297.102,1.33155,1.99636,1.60459,0.58502,0.32612,0.33486,0.19458,1.38445,1.81199,1.75174,0.000855005,0.000855005,0.000855005
8,338.781,1.29016,1.92533,1.58005,0.44183,0.28602,0.27072,0.15176,1.5098,2.09441,1.94333,0.000846006,0.000846006,0.000846006
9,382.631,1.29797,1.94293,1.58882,0.43031,0.34214,0.29148,0.17311,1.39187,1.87021,1.78139,0.000837007,0.000837007,0.000837007
10,425.052,1.2666,1.85561,1.56188,0.47646,0.31276,0.31059,0.19358,1.2979,1.92621,1.70462,0.000828008,0.000828008,0.000828008
11,466.717,1.27681,1.84408,1.57197,0.52524,0.38883,0.35819,0.22119,1.31238,1.78967,1.70617,0.000819009,0.000819009,0.000819009
12,507.892,1.25997,1.77564,1.56532,0.49907,0.36607,0.34375,0.21437,1.30082,1.7777,1.68803,0.00081001,0.00081001,0.00081001
13,549.121,1.23535,1.70953,1.53073,0.48981,0.36851,0.34834,0.21305,1.29259,1.74783,1.72762,0.000801011,0.000801011,0.000801011
14,590.299,1.2568,1.73955,1.54058,0.46947,0.32808,0.32312,0.18666,1.39016,1.76164,1.80454,0.000792012,0.000792012,0.000792012
15,631.637,1.22564,1.64486,1.5211,0.64576,0.34396,0.37743,0.2259,1.27107,1.65907,1.71746,0.000783013,0.000783013,0.000783013
16,676.205,1.22533,1.6547,1.5263,0.37081,0.38949,0.37227,0.22641,1.40094,1.62651,1.82021,0.000774013,0.000774013,0.000774013
17,721.306,1.21841,1.65268,1.53139,0.40607,0.35073,0.34802,0.22039,1.39306,1.71906,1.7935,0.000765014,0.000765014,0.000765014
18,765.686,1.19359,1.6201,1.5206,0.35639,0.40653,0.36961,0.23102,1.21336,1.62879,1.65719,0.000756015,0.000756015,0.000756015
19,810.943,1.18554,1.57331,1.50061,0.55961,0.38685,0.37693,0.23742,1.22652,1.59062,1.65537,0.000747016,0.000747016,0.000747016
20,855.234,1.17807,1.54787,1.49198,0.49804,0.40235,0.35025,0.20977,1.23923,1.70212,1.63202,0.000738017,0.000738017,0.000738017
21,899.661,1.15655,1.5096,1.47476,0.31924,0.4646,0.39273,0.24654,1.22889,1.71955,1.644,0.000729018,0.000729018,0.000729018
22,943.079,1.14873,1.49267,1.46824,0.60912,0.33628,0.37262,0.23757,1.2473,1.55782,1.64506,0.000720019,0.000720019,0.000720019
