epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.637,1.20344,2.23413,1.30792,0.58782,0.34332,0.38909,0.24109,1.31067,2.07177,1.41305,0.000302552,0.000302552,0.000302552
2,530.196,1.39737,2.20684,1.45246,0.41153,0.32678,0.30806,0.17457,1.50159,2.20916,1.56977,0.000596988,0.000596988,0.000596988
3,773.215,1.48163,2.33909,1.51267,0.40961,0.33665,0.30817,0.17334,1.52024,2.21675,1.58074,0.000882853,0.000882853,0.000882853
4,994.432,1.45596,2.24524,1.49612,0.45549,0.32689,0.33742,0.20064,1.44162,2.13145,1.53335,0.000870432,0.000870432,0.000870432
5,1220.3,1.40571,2.1541,1.46774,0.51542,0.39368,0.39939,0.24382,1.41364,1.9664,1.50414,0.000857577,0.000857577,0.000857577
6,1448.88,1.37167,2.03061,1.43311,0.47165,0.43839,0.43052,0.25962,1.38114,1.83818,1.47039,0.000844721,0.000844721,0.000844721
7,1680.4,1.33027,1.94465,1.41717,0.50448,0.42223,0.43332,0.26467,1.35497,1.8074,1.46987,0.000831865,0.000831865,0.000831865
8,1924.38,1.30616,1.88683,1.39973,0.59336,0.41689,0.46718,0.29666,1.3147,1.69047,1.43918,0.000819009,0.000819009,0.000819009
9,2169.81,1.27847,1.8271,1.3814,0.60337,0.44,0.49828,0.32026,1.29119,1.63233,1.4082,0.000806153,0.000806153,0.000806153
10,2413.44,1.26273,1.77149,1.36087,0.55511,0.44121,0.47606,0.30699,1.28358,1.64267,1.41146,0.000793297,0.000793297,0.000793297
11,2668.62,1.24226,1.73755,1.35278,0.61874,0.46285,0.51642,0.3349,1.26036,1.58955,1.38661,0.000780441,0.000780441,0.000780441
12,2897.93,1.22626,1.68492,1.34039,0.57326,0.48176,0.51084,0.32858,1.26377,1.58207,1.37917,0.000767586,0.000767586,0.000767586
13,3138.14,1.20541,1.62685,1.32034,0.64788,0.46199,0.52338,0.33724,1.26666,1.5707,1.39544,0.00075473,0.00075473,0.00075473
14,3372.41,1.17003,1.57436,1.30304,0.60365,0.50177,0.52722,0.34086,1.24505,1.54467,1.37312,0.000741874,0.000741874,0.000741874
15,3621.87,1.17097,1.56934,1.29572,0.62993,0.47788,0.53703,0.34577,1.23992,1.51064,1.38335,0.000729018,0.000729018,0.000729018
16,3866.73,1.14557,1.50078,1.28316,0.66308,0.46505,0.54598,0.35625,1.22161,1.50344,1.35979,0.000716162,0.000716162,0.000716162
17,4106.36,1.14859,1.48644,1.28592,0.62631,0.49154,0.53898,0.34934,1.23124,1.51978,1.3719,0.000703306,0.000703306,0.000703306
18,4340.7,1.12257,1.45824,1.2689,0.60404,0.50844,0.55093,0.36888,1.20756,1.45115,1.34262,0.00069045,0.00069045,0.00069045
19,4580.38,1.11778,1.41778,1.25415,0.60531,0.51838,0.56223,0.3745,1.2038,1.42473,1.34956,0.000677595,0.000677595,0.000677595
20,4812.41,1.11169,1.39945,1.25159,0.6453,0.51355,0.56969,0.38339,1.18597,1.39117,1.31844,0.000664739,0.000664739,0.000664739
21,5045.55,1.09852,1.3731,1.23736,0.61828,0.52841,0.56418,0.37705,1.17445,1.41521,1.30615,0.000651883,0.000651883,0.000651883
22,5281.46,1.09053,1.35268,1.23282,0.61512,0.53306,0.56319,0.38629,1.16841,1.3825,1.30255,0.000639027,0.000639027,0.000639027
23,5523.98,1.07456,1.33657,1.23231,0.68166,0.49763,0.5737,0.39505,1.16564,1.37922,1.31228,0.000626171,0.000626171,0.000626171
24,5756.41,1.06943,1.29947,1.21707,0.65378,0.50077,0.56832,0.38312,1.18785,1.39398,1.32297,0.000613315,0.000613315,0.000613315
25,5989.41,1.05266,1.26014,1.20765,0.65389,0.525,0.57763,0.39334,1.16697,1.36399,1.30982,0.000600459,0.000600459,0.000600459
26,6222.85,1.05325,1.26637,1.20805,0.65943,0.51319,0.58259,0.39511,1.16518,1.36389,1.3079,0.000587604,0.000587604,0.000587604
27,6462.82,1.04397,1.24879,1.20688,0.68215,0.52522,0.58762,0.39937,1.14785,1.34854,1.29795,0.000574748,0.000574748,0.000574748
28,6696.35,1.0259,1.2051,1.19397,0.68265,0.53282,0.59076,0.40285,1.15465,1.32232,1.30032,0.000561892,0.000561892,0.000561892
29,6928.96,1.02905,1.20978,1.19278,0.68772,0.54091,0.59518,0.40715,1.15217,1.30366,1.29509,0.000549036,0.000549036,0.000549036
30,7173.14,1.02087,1.17092,1.17966,0.69349,0.51756,0.59129,0.41131,1.13674,1.31357,1.28385,0.00053618,0.00053618,0.00053618
31,7410.73,1.01159,1.16401,1.17584,0.70821,0.52134,0.60068,0.40984,1.14272,1.30695,1.28934,0.000523324,0.000523324,0.000523324
32,7666.65,1.00065,1.14749,1.17082,0.64076,0.56381,0.60018,0.41661,1.12153,1.31421,1.27922,0.000510468,0.000510468,0.000510468
33,7916.6,0.99757,1.13358,1.16917,0.63341,0.57016,0.60414,0.4157,1.13834,1.32389,1.29224,0.000497613,0.000497613,0.000497613
34,8154.63,0.99412,1.10317,1.16823,0.64407,0.56182,0.60036,0.41538,1.13771,1.297,1.28411,0.000484757,0.000484757,0.000484757
35,8377.59,0.97947,1.09154,1.15599,0.69786,0.51495,0.59251,0.41074,1.14519,1.30219,1.28459,0.000471901,0.000471901,0.000471901
36,8609.21,0.9728,1.07744,1.15399,0.64555,0.56337,0.59438,0.40989,1.1347,1.30524,1.28296,0.000459045,0.000459045,0.000459045
37,8847.36,0.97013,1.05604,1.15473,0.66168,0.54732,0.60343,0.42279,1.12921,1.28806,1.28087,0.000446189,0.000446189,0.000446189
38,9094.77,0.96294,1.03867,1.14583,0.75332,0.51292,0.60827,0.42192,1.11743,1.25068,1.2683,0.000433333,0.000433333,0.000433333
39,9320.1,0.94632,1.02383,1.13167,0.64519,0.57392,0.61106,0.427,1.11875,1.24512,1.27396,0.000420477,0.000420477,0.000420477
40,9547.43,0.94498,1.00819,1.13129,0.67992,0.55856,0.61704,0.42325,1.1344,1.27412,1.2847,0.000407622,0.000407622,0.000407622
41,9780.38,0.9402,0.99716,1.12891,0.68568,0.56405,0.61237,0.42477,1.13567,1.26405,1.28566,0.000394766,0.000394766,0.000394766
42,10040,0.94024,0.98075,1.12438,0.65143,0.57331,0.60866,0.42034,1.13858,1.28481,1.2808,0.00038191,0.00038191,0.00038191
43,10289.5,0.92028,0.96052,1.11916,0.64649,0.56078,0.60877,0.42383,1.12757,1.25159,1.27442,0.000369054,0.000369054,0.000369054
44,10540.5,0.91318,0.93933,1.11179,0.66186,0.54347,0.59939,0.41797,1.13446,1.27328,1.27842,0.000356198,0.000356198,0.000356198
45,10785.1,0.91099,0.93432,1.10765,0.69691,0.54382,0.61271,0.42907,1.12182,1.27541,1.27109,0.000343342,0.000343342,0.000343342
46,11024.2,0.91506,0.92831,1.1096,0.67558,0.57402,0.61313,0.42473,1.1241,1.26024,1.27001,0.000330486,0.000330486,0.000330486
47,11276.3,0.89658,0.8917,1.10225,0.70934,0.54704,0.61677,0.42775,1.1363,1.26316,1.28408,0.000317631,0.000317631,0.000317631
48,11518.9,0.89075,0.89397,1.0961,0.69614,0.55723,0.61297,0.42966,1.12028,1.25325,1.26432,0.000304775,0.000304775,0.000304775
49,11759.2,0.88364,0.86797,1.09181,0.75845,0.5231,0.61456,0.42685,1.12554,1.2879,1.27497,0.000291919,0.000291919,0.000291919
50,12000.4,0.88468,0.86152,1.08976,0.74688,0.52935,0.61193,0.42733,1.12554,1.26744,1.27742,0.000279063,0.000279063,0.000279063
51,12239.4,0.86843,0.84523,1.07757,0.69922,0.57362,0.6219,0.43502,1.11812,1.25406,1.26813,0.000266207,0.000266207,0.000266207
52,12487.6,0.86706,0.83275,1.07508,0.68694,0.55995,0.61929,0.43594,1.1243,1.26983,1.27963,0.000253351,0.000253351,0.000253351
53,12734.2,0.86563,0.83394,1.08519,0.71755,0.55567,0.61562,0.4253,1.14166,1.29222,1.28295,0.000240495,0.000240495,0.000240495
54,12972.4,0.85793,0.81519,1.0719,0.72305,0.54739,0.61597,0.43166,1.12088,1.27883,1.27651,0.00022764,0.00022764,0.00022764
55,13207.7,0.84933,0.80258,1.06652,0.73638,0.54617,0.62052,0.43212,1.12166,1.26925,1.28167,0.000214784,0.000214784,0.000214784
56,13440.9,0.8491,0.80033,1.07025,0.6768,0.57847,0.61783,0.43554,1.12607,1.29482,1.27649,0.000201928,0.000201928,0.000201928
57,13680.1,0.83282,0.7804,1.05913,0.73958,0.531,0.61124,0.43618,1.11509,1.27885,1.26979,0.000189072,0.000189072,0.000189072
58,13919.8,0.83002,0.76955,1.06076,0.68568,0.56588,0.62089,0.4381,1.12769,1.27847,1.28219,0.000176216,0.000176216,0.000176216
59,14164.9,0.83157,0.76218,1.0573,0.71546,0.56192,0.62234,0.4403,1.13102,1.28017,1.28854,0.00016336,0.00016336,0.00016336
60,14405.6,0.81687,0.74019,1.04953,0.66525,0.59795,0.62441,0.43823,1.13062,1.29678,1.28786,0.000150504,0.000150504,0.000150504
61,14631.5,0.78063,0.64036,1.01766,0.69412,0.56327,0.61682,0.43418,1.1344,1.29334,1.29635,0.000137649,0.000137649,0.000137649
62,14853.6,0.76404,0.6058,1.00812,0.74757,0.53837,0.61639,0.43501,1.12882,1.30004,1.28544,0.000124793,0.000124793,0.000124793
63,15073.9,0.76279,0.5967,1.00316,0.69903,0.56079,0.61608,0.43665,1.13096,1.31039,1.28285,0.000111937,0.000111937,0.000111937
64,15295.6,0.75199,0.58053,0.99523,0.71947,0.56163,0.61576,0.43764,1.13567,1.32355,1.28625,9.9081e-05,9.9081e-05,9.9081e-05
65,15518.6,0.74092,0.56779,0.99626,0.68656,0.57388,0.61921,0.43912,1.13154,1.31818,1.28689,8.62251e-05,8.62251e-05,8.62251e-05
66,15740.4,0.7373,0.5629,0.98964,0.74565,0.54746,0.6193,0.43887,1.13472,1.3259,1.29127,7.33693e-05,7.33693e-05,7.33693e-05
67,15957.5,0.73333,0.55118,0.98776,0.75145,0.54886,0.623,0.43965,1.13898,1.33703,1.29024,6.05134e-05,6.05134e-05,6.05134e-05
68,16186.3,0.72308,0.53916,0.98187,0.75992,0.53833,0.62237,0.44238,1.1345,1.33804,1.28833,4.76576e-05,4.76576e-05,4.76576e-05
69,16413.2,0.71958,0.53752,0.98155,0.72175,0.55994,0.62165,0.44326,1.13715,1.33819,1.29145,3.48017e-05,3.48017e-05,3.48017e-05
70,16634.6,0.7151,0.52529,0.97809,0.68133,0.58572,0.62422,0.44365,1.13849,1.33567,1.29392,2.19459e-05,2.19459e-05,2.19459e-05
