epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8997,1.08513,2.89578,1.3474,0.83872,0.0724,0.23342,0.15685,1.03101,2.83869,1.34626,0.000297059,0.000297059,0.000297059
2,27.4492,1.12567,1.97653,1.3716,0.75615,0.26148,0.26263,0.15722,1.21425,2.11249,1.46453,0.000588178,0.000588178,0.000588178
3,37.8349,1.18614,1.90557,1.40427,0.62194,0.1985,0.24085,0.14135,1.32546,2.349,1.59729,0.000867298,0.000867298,0.000867298
4,47.7549,1.21621,1.88553,1.42149,0.56288,0.24909,0.24386,0.15183,1.38821,2.18528,1.70151,0.000855005,0.000855005,0.000855005
5,57.73,1.21191,1.8257,1.44127,0.42724,0.26021,0.23669,0.14521,1.32282,2.27479,1.63086,0.000837007,0.000837007,0.000837007
6,66.9964,1.19811,1.75311,1.40284,0.5661,0.28002,0.26484,0.16252,1.32489,1.98551,1.6108,0.000819009,0.000819009,0.000819009
7,76.1626,1.16754,1.69745,1.3976,0.43823,0.29128,0.27184,0.15371,1.46409,1.91805,1.87125,0.000801011,0.000801011,0.000801011
8,85.4752,1.16049,1.67325,1.39407,0.52679,0.35005,0.32451,0.19548,1.35275,1.80649,1.62401,0.000783013,0.000783013,0.000783013
9,95.5637,1.13056,1.58944,1.36935,0.47629,0.33489,0.28689,0.17171,1.25812,1.87852,1.60178,0.000765014,0.000765014,0.000765014
10,105.776,1.11373,1.5587,1.35139,0.53498,0.34629,0.33511,0.21598,1.28901,1.62685,1.54738,0.000747016,0.000747016,0.000747016
11,115.974,1.11011,1.49633,1.36317,0.5716,0.29578,0.30925,0.18059,1.27486,1.92014,1.53911,0.000729018,0.000729018,0.000729018
12,125.831,1.07394,1.43368,1.32554,0.54728,0.3156,0.35665,0.23406,1.289,1.66073,1.5857,0.00071102,0.00071102,0.00071102
13,135.377,1.07444,1.40235,1.32691,0.39076,0.31094,0.32588,0.20384,1.3169,1.62643,1.59552,0.000693022,0.000693022,0.000693022
14,144.863,1.05314,1.36111,1.31416,0.54658,0.32375,0.35918,0.2429,1.27229,1.62434,1.56876,0.000675023,0.000675023,0.000675023
15,154.253,1.0171,1.31505,1.27674,0.35981,0.42152,0.35927,0.25747,1.1851,1.60265,1.47726,0.000657025,0.000657025,0.000657025
16,163.569,1.04733,1.33892,1.29899,0.58814,0.30278,0.3836,0.25586,1.22429,1.59257,1.51288,0.000639027,0.000639027,0.000639027
17,172.882,1.01344,1.27527,1.27867,0.62741,0.33797,0.34505,0.23528,1.23673,1.60325,1.53741,0.000621029,0.000621029,0.000621029
18,182.09,0.99567,1.24294,1.26246,0.60796,0.28793,0.35396,0.23896,1.22016,1.60079,1.52806,0.000603031,0.000603031,0.000603031
19,191.64,0.98937,1.22484,1.26176,0.69289,0.32121,0.36554,0.24941,1.15262,1.49687,1.46493,0.000585032,0.000585032,0.000585032
20,201.107,0.96989,1.18955,1.25559,0.58381,0.3038,0.35423,0.24174,1.24934,1.53722,1.55582,0.000567034,0.000567034,0.000567034
21,210.579,0.95228,1.15644,1.22386,0.53819,0.35297,0.36542,0.25554,1.10647,1.45218,1.41189,0.000549036,0.000549036,0.000549036
22,219.852,0.95427,1.14333,1.23854,0.60759,0.36107,0.38773,0.24929,1.19653,1.57217,1.45725,0.000531038,0.000531038,0.000531038
23,229.13,0.94525,1.12899,1.22388,0.57348,0.29569,0.35478,0.2462,1.1456,1.52675,1.42804,0.00051304,0.00051304,0.00051304
24,238.394,0.95002,1.1085,1.24209,0.70452,0.29942,0.3375,0.23248,1.15543,1.49499,1.45809,0.000495041,0.000495041,0.000495041
25,247.62,0.91946,1.07661,1.22096,0.52117,0.37476,0.35701,0.24529,1.16515,1.42661,1.45693,0.000477043,0.000477043,0.000477043
26,256.812,0.91704,1.03244,1.21812,0.52809,0.33575,0.35684,0.24394,1.12957,1.44083,1.47327,0.000459045,0.000459045,0.000459045
27,266.1,0.9083,1.03181,1.20996,0.55783,0.34196,0.37936,0.25176,1.10977,1.40401,1.42024,0.000441047,0.000441047,0.000441047
28,275.407,0.90668,1.03958,1.21362,0.68815,0.31082,0.39717,0.27955,1.15879,1.38688,1.46149,0.000423049,0.000423049,0.000423049
29,284.814,0.87502,1.00051,1.18572,0.63455,0.34948,0.41007,0.28465,1.14554,1.35269,1.49772,0.00040505,0.00040505,0.00040505
30,294.01,0.87535,0.96777,1.17139,0.59162,0.35522,0.39582,0.26753,1.13779,1.44981,1.4657,0.000387052,0.000387052,0.000387052
31,303.288,0.87951,0.95885,1.17758,0.66814,0.32928,0.39744,0.2834,1.08043,1.42449,1.38082,0.000369054,0.000369054,0.000369054
32,312.699,0.86046,0.95232,1.17012,0.61972,0.33474,0.38386,0.28066,1.07732,1.39504,1.40292,0.000351056,0.000351056,0.000351056
33,322.031,0.86073,0.94853,1.17421,0.46789,0.40701,0.40735,0.29062,1.09417,1.28562,1.39582,0.000333058,0.000333058,0.000333058
34,331.344,0.83668,0.90364,1.15447,0.65438,0.32884,0.40228,0.2842,1.07069,1.25092,1.4005,0.000315059,0.000315059,0.000315059
35,340.68,0.85971,0.89421,1.17057,0.57291,0.3689,0.39253,0.28291,1.10732,1.27078,1.42453,0.000297061,0.000297061,0.000297061
36,349.947,0.84633,0.89408,1.16354,0.60575,0.38334,0.39458,0.27602,1.10527,1.28163,1.4158,0.000279063,0.000279063,0.000279063
37,359.139,0.80556,0.8445,1.13832,0.60909,0.33572,0.38233,0.27905,1.06804,1.29186,1.36708,0.000261065,0.000261065,0.000261065
38,368.433,0.81736,0.8645,1.13528,0.38394,0.40801,0.38928,0.28019,1.06671,1.34405,1.37523,0.000243067,0.000243067,0.000243067
39,377.725,0.78801,0.82598,1.13054,0.41102,0.44379,0.41078,0.28264,1.08161,1.29473,1.43083,0.000225068,0.000225068,0.000225068
40,387.188,0.7956,0.83763,1.1329,0.43235,0.37315,0.39761,0.28375,1.07098,1.2693,1.39948,0.00020707,0.00020707,0.00020707
41,429.83,0.76306,0.84154,1.09728,0.53153,0.36218,0.38122,0.27574,1.08376,1.33523,1.41904,0.000189072,0.000189072,0.000189072
42,439.448,0.72522,0.73794,1.08224,0.55151,0.3812,0.38712,0.27859,1.06568,1.30309,1.38471,0.000171074,0.000171074,0.000171074
43,449.483,0.70545,0.69759,1.0616,0.6359,0.32776,0.38161,0.27071,1.08952,1.316,1.4279,0.000153076,0.000153076,0.000153076
44,459.077,0.68677,0.67581,1.05182,0.57663,0.35478,0.38598,0.27498,1.04633,1.35447,1.3723,0.000135077,0.000135077,0.000135077
45,468.622,0.68434,0.67654,1.0511,0.38958,0.37957,0.38978,0.28434,1.04647,1.29761,1.3676,0.000117079,0.000117079,0.000117079
46,478.122,0.68064,0.65671,1.04808,0.40426,0.38687,0.39946,0.28991,1.05473,1.28494,1.38657,9.9081e-05,9.9081e-05,9.9081e-05
47,487.792,0.65363,0.63013,1.02183,0.58039,0.38103,0.40849,0.29355,1.05813,1.2931,1.39499,8.10828e-05,8.10828e-05,8.10828e-05
48,497.415,0.66413,0.62089,1.04407,0.45891,0.33786,0.39801,0.2841,1.0093,1.33037,1.36294,6.30846e-05,6.30846e-05,6.30846e-05
49,507.134,0.65338,0.61495,1.01948,0.44548,0.33659,0.39443,0.28646,1.03198,1.31294,1.37701,4.50864e-05,4.50864e-05,4.50864e-05
50,516.585,0.64811,0.60574,1.01698,0.39343,0.38589,0.39443,0.28508,1.03753,1.30655,1.3828,2.70882e-05,2.70882e-05,2.70882e-05
