epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.9682,1.23893,2.69482,1.28755,0.42846,0.40838,0.3676,0.2233,1.33378,2.12293,1.38616,0.000302106,0.000302106,0.000302106
2,126.513,1.35903,2.31408,1.36598,0.48027,0.37994,0.3741,0.21998,1.40312,2.01574,1.42639,0.000599116,0.000599116,0.000599116
3,182.396,1.41318,2.24232,1.40903,0.451,0.32872,0.3062,0.17609,1.52081,2.2821,1.53725,0.000890126,0.000890126,0.000890126
4,238.992,1.42347,2.17862,1.41115,0.48681,0.3564,0.33739,0.20336,1.44956,2.41593,1.4991,0.000882003,0.000882003,0.000882003
5,293.825,1.3948,2.07805,1.40559,0.51977,0.37879,0.38799,0.22917,1.45195,2.00323,1.51808,0.000873004,0.000873004,0.000873004
6,348.813,1.37441,1.97795,1.39178,0.4814,0.38841,0.38915,0.23942,1.37756,1.98567,1.41789,0.000864004,0.000864004,0.000864004
7,404.173,1.3379,1.92301,1.36679,0.50853,0.39298,0.41573,0.26382,1.35994,1.85949,1.41989,0.000855005,0.000855005,0.000855005
8,459.206,1.33917,1.88603,1.36297,0.55227,0.42856,0.44539,0.28223,1.37792,1.76319,1.4054,0.000846006,0.000846006,0.000846006
9,514.434,1.3096,1.83995,1.34225,0.53949,0.4357,0.46087,0.29697,1.33677,1.75736,1.38116,0.000837007,0.000837007,0.000837007
10,569.595,1.28969,1.78449,1.33713,0.55076,0.42315,0.46217,0.29944,1.30408,1.68501,1.36535,0.000828008,0.000828008,0.000828008
11,624.703,1.28192,1.75165,1.32966,0.55468,0.44508,0.46384,0.29279,1.32481,1.73048,1.39077,0.000819009,0.000819009,0.000819009
12,679.185,1.26012,1.70683,1.30927,0.57009,0.46069,0.48201,0.30732,1.32329,1.67635,1.36266,0.00081001,0.00081001,0.00081001
13,734.316,1.25342,1.70526,1.30666,0.59861,0.43577,0.47686,0.31169,1.28643,1.62943,1.36024,0.000801011,0.000801011,0.000801011
14,790.216,1.25481,1.65618,1.3046,0.61011,0.45312,0.49408,0.32348,1.2856,1.62343,1.35598,0.000792012,0.000792012,0.000792012
