epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5671,1.26325,3.10761,1.55898,0.84079,0.10026,0.24186,0.14085,1.13965,2.65676,1.55367,0.000297059,0.000297059,0.000297059
2,93.2141,1.3661,2.38289,1.63415,0.59606,0.1948,0.21482,0.10334,1.61322,2.41062,2.02936,0.000594118,0.000594118,0.000594118
3,138.552,1.38998,2.36115,1.66854,0.41352,0.25724,0.23645,0.13019,1.63709,2.51909,2.02165,0.000885178,0.000885178,0.000885178
4,183.604,1.40777,2.29599,1.68086,0.41272,0.20473,0.19478,0.09046,1.59124,2.7565,1.98576,0.000882003,0.000882003,0.000882003
5,228.239,1.40192,2.2524,1.69288,0.46549,0.25443,0.232,0.11109,1.62074,2.15557,2.03801,0.000873004,0.000873004,0.000873004
6,272.679,1.37108,2.15089,1.65226,0.51048,0.28377,0.26624,0.14394,1.54341,2.05672,1.91746,0.000864004,0.000864004,0.000864004
7,316.87,1.38107,2.1192,1.65129,0.49206,0.26452,0.27696,0.1488,1.54586,2.11096,1.91719,0.000855005,0.000855005,0.000855005
8,359.456,1.35413,2.08227,1.66562,0.47797,0.26993,0.28226,0.17155,1.38633,1.88306,1.81134,0.000846006,0.000846006,0.000846006
9,401.571,1.35029,2.02252,1.64545,0.6317,0.23615,0.26394,0.14791,1.38803,2.02506,1.81309,0.000837007,0.000837007,0.000837007
10,442.827,1.30778,1.96153,1.5931,0.44827,0.26263,0.27238,0.15396,1.43756,1.99066,1.823,0.000828008,0.000828008,0.000828008
11,485.376,1.31675,1.89674,1.60741,0.46075,0.31767,0.31087,0.18834,1.40655,1.96007,1.82973,0.000819009,0.000819009,0.000819009
12,529.58,1.32263,1.902,1.6057,0.4941,0.3635,0.32764,0.1956,1.29725,1.78377,1.72607,0.00081001,0.00081001,0.00081001
13,572.667,1.22488,1.77648,1.53302,0.4242,0.3382,0.28238,0.15347,1.41138,1.9812,1.77801,0.000801011,0.000801011,0.000801011
14,617.511,1.26295,1.7964,1.57665,0.45805,0.32113,0.29786,0.17941,1.37428,1.84083,1.74687,0.000792012,0.000792012,0.000792012
15,660.707,1.27466,1.78547,1.56918,0.42593,0.33911,0.31251,0.19273,1.28828,1.84552,1.67638,0.000783013,0.000783013,0.000783013
16,700.35,1.23569,1.70955,1.5421,0.48438,0.34422,0.33003,0.19732,1.36112,1.74583,1.75325,0.000774013,0.000774013,0.000774013
17,738.215,1.23762,1.69604,1.54527,0.51619,0.34928,0.34318,0.21721,1.29875,1.78376,1.7487,0.000765014,0.000765014,0.000765014
18,777.253,1.22299,1.68124,1.52741,0.49066,0.35484,0.30166,0.17512,1.33527,1.89068,1.76394,0.000756015,0.000756015,0.000756015
19,823.077,1.24711,1.71335,1.54827,0.55713,0.3637,0.34089,0.21203,1.36337,1.83827,1.82625,0.000747016,0.000747016,0.000747016
20,869.667,1.19506,1.62963,1.49758,0.62175,0.31249,0.34282,0.21353,1.30426,1.73123,1.74861,0.000738017,0.000738017,0.000738017
21,913.289,1.22297,1.63464,1.5285,0.53589,0.36874,0.34239,0.20319,1.31832,1.79982,1.73521,0.000729018,0.000729018,0.000729018
22,956.941,1.20981,1.60708,1.51102,0.64849,0.33209,0.3696,0.22566,1.35128,1.74424,1.75103,0.000720019,0.000720019,0.000720019
23,998.978,1.18866,1.5576,1.50271,0.50697,0.38142,0.36002,0.23008,1.31465,1.60258,1.72494,0.00071102,0.00071102,0.00071102
24,1040.94,1.18765,1.57617,1.50457,0.67125,0.37101,0.41736,0.24879,1.37022,1.66104,1.75889,0.000702021,0.000702021,0.000702021
25,1083.25,1.17496,1.51656,1.48294,0.50501,0.37848,0.34003,0.20346,1.39118,1.79228,1.75278,0.000693022,0.000693022,0.000693022
26,1126.06,1.1675,1.53957,1.4982,0.61291,0.38498,0.40007,0.24411,1.27575,1.68505,1.70317,0.000684022,0.000684022,0.000684022
27,1164.97,1.14559,1.49627,1.46842,0.39878,0.40755,0.38377,0.24114,1.18686,1.58057,1.63808,0.000675023,0.000675023,0.000675023
28,1205.15,1.15489,1.48958,1.49017,0.57229,0.37294,0.37781,0.25023,1.19347,1.57585,1.59861,0.000666024,0.000666024,0.000666024
29,1247.43,1.12994,1.47341,1.46068,0.47297,0.37192,0.37426,0.24295,1.24737,1.65461,1.65122,0.000657025,0.000657025,0.000657025
30,1290.04,1.123,1.4154,1.43619,0.66374,0.31531,0.38094,0.23924,1.24611,1.56157,1.6651,0.000648026,0.000648026,0.000648026
31,1336.67,1.11442,1.40517,1.4292,0.59576,0.36638,0.39072,0.24349,1.26222,1.60104,1.65625,0.000639027,0.000639027,0.000639027
32,1381.03,1.1041,1.38403,1.43007,0.37043,0.39343,0.36405,0.23486,1.26358,1.52861,1.66519,0.000630028,0.000630028,0.000630028
33,1426.61,1.1112,1.38513,1.4491,0.61081,0.34919,0.38288,0.24091,1.28152,1.59126,1.68161,0.000621029,0.000621029,0.000621029
34,1471.88,1.10267,1.36885,1.42869,0.57135,0.37254,0.35171,0.22709,1.24225,1.72326,1.64982,0.00061203,0.00061203,0.00061203
35,1517.04,1.08585,1.32927,1.40453,0.552,0.388,0.38787,0.23608,1.31067,1.54083,1.65975,0.000603031,0.000603031,0.000603031
36,1563.13,1.09753,1.34214,1.42643,0.59345,0.34349,0.37578,0.24049,1.21841,1.57466,1.61948,0.000594031,0.000594031,0.000594031
37,1607.91,1.09072,1.3419,1.42367,0.59925,0.38854,0.3757,0.23079,1.3488,1.61301,1.78087,0.000585032,0.000585032,0.000585032
38,1651.62,1.08259,1.31726,1.41007,0.57183,0.42625,0.39546,0.26682,1.26623,1.51052,1.71685,0.000576033,0.000576033,0.000576033
39,1695.47,1.09492,1.31794,1.42538,0.62281,0.37832,0.40503,0.26319,1.20301,1.43583,1.60336,0.000567034,0.000567034,0.000567034
40,1740.57,1.06896,1.32059,1.40237,0.60181,0.39418,0.42368,0.28719,1.22678,1.45507,1.63004,0.000558035,0.000558035,0.000558035
41,1786.06,1.06127,1.28555,1.41281,0.48511,0.37927,0.38319,0.24851,1.21933,1.51388,1.62322,0.000549036,0.000549036,0.000549036
42,1829.17,1.03284,1.24999,1.38314,0.61118,0.37482,0.40143,0.2685,1.16179,1.47244,1.59714,0.000540037,0.000540037,0.000540037
43,1873.9,1.06809,1.26924,1.40502,0.57224,0.41279,0.39988,0.25795,1.23662,1.41473,1.65519,0.000531038,0.000531038,0.000531038
44,1918.41,1.06042,1.29427,1.39471,0.62204,0.35462,0.38404,0.25065,1.24479,1.48985,1.6605,0.000522039,0.000522039,0.000522039
45,1962.88,1.04102,1.2312,1.37856,0.56265,0.41982,0.41366,0.27413,1.16403,1.37371,1.57883,0.00051304,0.00051304,0.00051304
46,2005.48,1.02912,1.20736,1.3836,0.50107,0.41743,0.37597,0.2479,1.22135,1.50722,1.63361,0.00050404,0.00050404,0.00050404
47,2049.12,1.05323,1.25279,1.38469,0.57962,0.41899,0.39464,0.25868,1.27315,1.54619,1.65701,0.000495041,0.000495041,0.000495041
48,2093.83,1.03702,1.22981,1.38303,0.60119,0.37788,0.3853,0.24548,1.34577,1.56004,1.73935,0.000486042,0.000486042,0.000486042
49,2138.18,1.01716,1.17527,1.36853,0.58969,0.34014,0.38958,0.26695,1.19622,1.47355,1.59294,0.000477043,0.000477043,0.000477043
50,2181.09,0.98558,1.14969,1.32492,0.53523,0.36835,0.38054,0.25381,1.17643,1.47603,1.57339,0.000468044,0.000468044,0.000468044
51,2225.88,1.02384,1.20146,1.36959,0.35868,0.4464,0.39934,0.25999,1.26284,1.47087,1.68938,0.000459045,0.000459045,0.000459045
52,2271.26,1.02442,1.19083,1.37391,0.60535,0.33297,0.37408,0.24336,1.1674,1.54891,1.59065,0.000450046,0.000450046,0.000450046
53,2314.35,0.99895,1.16821,1.35925,0.63808,0.35869,0.40703,0.25361,1.26675,1.48342,1.66045,0.000441047,0.000441047,0.000441047
54,2357.61,0.96665,1.10274,1.31707,0.60155,0.41314,0.41469,0.27522,1.19839,1.42534,1.63141,0.000432048,0.000432048,0.000432048
55,2402.5,1.0134,1.14757,1.36182,0.59347,0.35185,0.39253,0.25638,1.22497,1.50876,1.58784,0.000423049,0.000423049,0.000423049
56,2445.96,0.96031,1.106,1.31754,0.57427,0.41973,0.39309,0.265,1.20798,1.48712,1.63742,0.000414049,0.000414049,0.000414049
57,2489.67,0.97098,1.11483,1.32118,0.58382,0.38446,0.39123,0.26234,1.16797,1.48925,1.58965,0.00040505,0.00040505,0.00040505
58,2534.38,0.9605,1.10344,1.32251,0.65231,0.37507,0.40054,0.27016,1.1805,1.47964,1.5981,0.000396051,0.000396051,0.000396051
59,2578.19,0.93759,1.07809,1.30803,0.72269,0.39096,0.43109,0.2947,1.18016,1.42415,1.59877,0.000387052,0.000387052,0.000387052
60,2624.2,0.95715,1.09286,1.3217,0.66411,0.41415,0.41258,0.27568,1.19671,1.47212,1.66351,0.000378053,0.000378053,0.000378053
