epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.834,1.13009,3.02374,1.43964,0.70979,0.03014,0.1907,0.11863,1.09961,2.90777,1.53641,0.000297059,0.000297059,0.000297059
2,76.8856,1.16209,2.1865,1.46742,0.6662,0.24623,0.26497,0.147,1.33352,2.41595,1.84019,0.000594118,0.000594118,0.000594118
3,114.457,1.20395,2.1156,1.50104,0.40865,0.25435,0.22582,0.12666,1.51635,2.28523,2.05831,0.000885178,0.000885178,0.000885178
4,151.75,1.23792,2.10912,1.52311,0.44315,0.25004,0.2305,0.13304,1.50867,2.17274,1.89226,0.000882003,0.000882003,0.000882003
5,188.677,1.2431,2.01955,1.5045,0.41649,0.26719,0.24297,0.13718,1.4836,2.28669,1.89328,0.000873004,0.000873004,0.000873004
6,225.609,1.22567,1.93514,1.52535,0.49887,0.27088,0.27688,0.16687,1.43239,2.0244,1.8638,0.000864004,0.000864004,0.000864004
7,261.494,1.22418,1.8888,1.50869,0.61447,0.25096,0.26529,0.15714,1.42585,2.34156,1.8389,0.000855005,0.000855005,0.000855005
8,297.582,1.19482,1.82484,1.48489,0.44683,0.26882,0.26295,0.14512,1.48008,2.02122,1.94025,0.000846006,0.000846006,0.000846006
9,333.909,1.17889,1.76484,1.46523,0.51054,0.32702,0.31417,0.18397,1.33744,1.87457,1.73607,0.000837007,0.000837007,0.000837007
10,370.163,1.16781,1.68516,1.45836,0.56406,0.29548,0.30822,0.19075,1.37456,1.90503,1.75595,0.000828008,0.000828008,0.000828008
11,405.102,1.13201,1.66594,1.43883,0.45832,0.31773,0.31484,0.20668,1.28669,1.81708,1.68217,0.000819009,0.000819009,0.000819009
12,440.158,1.14395,1.62748,1.45188,0.66824,0.30683,0.32956,0.20605,1.33352,1.85136,1.76503,0.00081001,0.00081001,0.00081001
13,475.268,1.10036,1.56227,1.41977,0.49423,0.31526,0.35126,0.20257,1.4309,1.92394,1.83722,0.000801011,0.000801011,0.000801011
14,510.507,1.09876,1.54202,1.42155,0.6077,0.31924,0.32573,0.19294,1.34604,1.76017,1.72253,0.000792012,0.000792012,0.000792012
15,546.103,1.0791,1.46667,1.3901,0.53126,0.35625,0.38897,0.2419,1.23564,1.66302,1.644,0.000783013,0.000783013,0.000783013
16,581.612,1.10168,1.4587,1.39012,0.2993,0.30876,0.29545,0.18629,1.3584,1.87564,1.76939,0.000774013,0.000774013,0.000774013
17,616.783,1.08171,1.40833,1.37022,0.5969,0.27646,0.32763,0.20077,1.33488,1.70953,1.71308,0.000765014,0.000765014,0.000765014
18,651.8,1.02689,1.35347,1.36755,0.58623,0.31848,0.32592,0.19957,1.33837,1.70943,1.75838,0.000756015,0.000756015,0.000756015
19,687.642,1.0461,1.355,1.37454,0.48219,0.34546,0.33549,0.19335,1.40317,1.9098,1.81524,0.000747016,0.000747016,0.000747016
20,723.403,1.05618,1.35671,1.36538,0.66477,0.27731,0.3712,0.23041,1.23198,1.74924,1.62168,0.000738017,0.000738017,0.000738017
21,758.907,1.01419,1.32228,1.35762,0.63869,0.31475,0.3156,0.1881,1.28926,1.70942,1.68935,0.000729018,0.000729018,0.000729018
22,794.358,1.03191,1.30072,1.36267,0.55122,0.37076,0.41781,0.25981,1.23024,1.6113,1.64922,0.000720019,0.000720019,0.000720019
23,829.805,0.99695,1.24377,1.32215,0.52983,0.41106,0.38496,0.24651,1.23655,1.67045,1.64271,0.00071102,0.00071102,0.00071102
24,865.144,1.00662,1.26551,1.33107,0.65323,0.29669,0.36617,0.2174,1.36127,1.74452,1.79321,0.000702021,0.000702021,0.000702021
25,900.512,0.98469,1.19602,1.32662,0.60529,0.33283,0.36885,0.2287,1.31336,1.632,1.71705,0.000693022,0.000693022,0.000693022
26,935.771,0.99557,1.23078,1.33833,0.48543,0.35684,0.3402,0.21212,1.24893,1.72804,1.65406,0.000684022,0.000684022,0.000684022
27,971.736,0.99951,1.20573,1.3202,0.3954,0.37378,0.37011,0.23441,1.24831,1.6228,1.67077,0.000675023,0.000675023,0.000675023
28,1009.03,0.95491,1.158,1.29532,0.3908,0.39997,0.37586,0.24957,1.24534,1.51097,1.66285,0.000666024,0.000666024,0.000666024
29,1043.58,0.94719,1.14697,1.29549,0.59405,0.35969,0.36251,0.2332,1.31091,1.6932,1.72996,0.000657025,0.000657025,0.000657025
30,1078.02,0.97114,1.13942,1.29792,0.57202,0.38092,0.35765,0.23685,1.24839,1.5808,1.67513,0.000648026,0.000648026,0.000648026
31,1112.39,0.94918,1.105,1.29865,0.46651,0.34621,0.34738,0.2326,1.2126,1.64891,1.63187,0.000639027,0.000639027,0.000639027
32,1148.78,0.9509,1.09297,1.29871,0.59179,0.36232,0.37736,0.25041,1.22901,1.69811,1.63773,0.000630028,0.000630028,0.000630028
33,1183.68,0.93102,1.09974,1.28665,0.51507,0.35761,0.39987,0.25834,1.22528,1.52492,1.61695,0.000621029,0.000621029,0.000621029
34,1218.51,0.92064,1.03487,1.26396,0.40481,0.39904,0.36867,0.23319,1.28663,1.49598,1.67664,0.00061203,0.00061203,0.00061203
35,1253.14,0.90631,1.03873,1.24667,0.56705,0.39237,0.38085,0.25154,1.23842,1.53857,1.63083,0.000603031,0.000603031,0.000603031
36,1288.54,0.90565,1.01921,1.25749,0.57135,0.36625,0.3676,0.24373,1.21277,1.60987,1.62206,0.000594031,0.000594031,0.000594031
37,1323.48,0.90089,1.02393,1.24751,0.4049,0.41716,0.37855,0.24251,1.23989,1.55029,1.65916,0.000585032,0.000585032,0.000585032
38,1358.67,0.88661,0.97636,1.23578,0.47135,0.37132,0.37687,0.24015,1.24075,1.51356,1.63209,0.000576033,0.000576033,0.000576033
