epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.6178,1.28756,3.067,1.58268,0.81194,0.20857,0.2264,0.13996,1.18166,2.97199,1.58738,0.000297059,0.000297059,0.000297059
2,78.6718,1.34812,2.35969,1.62265,0.64836,0.27736,0.25413,0.14295,1.35156,2.31385,1.79663,0.000594118,0.000594118,0.000594118
3,116.809,1.36441,2.27567,1.64116,0.38685,0.27943,0.21238,0.11569,1.51337,2.28552,1.94843,0.000885178,0.000885178,0.000885178
4,157.77,1.38775,2.26314,1.66777,0.46144,0.2746,0.25202,0.14174,1.47993,2.16898,1.94952,0.000882003,0.000882003,0.000882003
5,197.957,1.40806,2.23027,1.68012,0.37578,0.27791,0.25235,0.14945,1.39336,2.18328,1.80946,0.000873004,0.000873004,0.000873004
6,236.176,1.37074,2.17588,1.64228,0.467,0.22676,0.21285,0.12076,1.41078,2.42279,1.86614,0.000864004,0.000864004,0.000864004
7,274.217,1.36823,2.10877,1.63852,0.37223,0.33512,0.21194,0.11176,1.44406,2.08792,1.85934,0.000855005,0.000855005,0.000855005
8,310.989,1.32008,2.03682,1.60563,0.45719,0.27725,0.25926,0.13838,1.52934,2.23913,1.98384,0.000846006,0.000846006,0.000846006
9,349.195,1.33674,2.02757,1.62258,0.48064,0.28987,0.28903,0.17435,1.34181,2.12215,1.78641,0.000837007,0.000837007,0.000837007
10,385.951,1.29282,1.92422,1.57978,0.65779,0.25816,0.30771,0.18886,1.39063,2.03868,1.78422,0.000828008,0.000828008,0.000828008
11,423.168,1.2938,1.91286,1.58881,0.5035,0.30025,0.3214,0.19926,1.36125,1.94956,1.77294,0.000819009,0.000819009,0.000819009
12,461.866,1.27755,1.82405,1.58167,0.6221,0.24321,0.30999,0.18087,1.44189,1.89574,1.85732,0.00081001,0.00081001,0.00081001
13,500.408,1.27177,1.79133,1.56523,0.51112,0.29392,0.32111,0.18026,1.46555,1.86461,1.90926,0.000801011,0.000801011,0.000801011
14,538.052,1.29279,1.82786,1.5777,0.48111,0.34128,0.29231,0.16946,1.46068,1.88402,1.90918,0.000792012,0.000792012,0.000792012
15,575.301,1.2472,1.73125,1.54031,0.45804,0.34536,0.31438,0.18822,1.30299,2.00836,1.70982,0.000783013,0.000783013,0.000783013
16,613.692,1.2515,1.74578,1.55513,0.54206,0.33563,0.35111,0.21891,1.29996,1.87745,1.73772,0.000774013,0.000774013,0.000774013
17,651.329,1.25272,1.7429,1.5652,0.42506,0.27525,0.30265,0.18614,1.35478,1.7475,1.76599,0.000765014,0.000765014,0.000765014
18,688.538,1.23623,1.69912,1.55122,0.50974,0.33418,0.30622,0.18033,1.29326,1.76201,1.71152,0.000756015,0.000756015,0.000756015
19,726.091,1.19492,1.63832,1.51595,0.52134,0.35044,0.33293,0.19419,1.22316,1.70691,1.69011,0.000747016,0.000747016,0.000747016
20,763.218,1.20368,1.6379,1.51574,0.57245,0.37551,0.37926,0.22521,1.4091,1.87876,1.80109,0.000738017,0.000738017,0.000738017
21,799.748,1.19371,1.59319,1.50061,0.5047,0.34398,0.3224,0.18049,1.44691,1.80963,1.83191,0.000729018,0.000729018,0.000729018
22,838.491,1.17515,1.55363,1.4818,0.51152,0.3569,0.35361,0.22366,1.26258,1.66756,1.67467,0.000720019,0.000720019,0.000720019
23,877.698,1.16783,1.53625,1.48908,0.72774,0.30861,0.3553,0.22167,1.35203,1.68578,1.73661,0.00071102,0.00071102,0.00071102
24,917.311,1.16594,1.53581,1.48155,0.59249,0.37775,0.40391,0.24954,1.26679,1.60835,1.727,0.000702021,0.000702021,0.000702021
25,956.077,1.16954,1.54218,1.4895,0.5549,0.33095,0.35148,0.22127,1.26923,1.72157,1.69935,0.000693022,0.000693022,0.000693022
26,994.864,1.17221,1.54763,1.49775,0.59015,0.38721,0.41098,0.2708,1.23031,1.54092,1.65249,0.000684022,0.000684022,0.000684022
27,1033.33,1.16293,1.53855,1.47369,0.32045,0.43432,0.36102,0.22592,1.31121,1.70962,1.74553,0.000675023,0.000675023,0.000675023
28,1071.51,1.15131,1.46626,1.47257,0.57714,0.36305,0.3565,0.22047,1.28452,1.66166,1.72955,0.000666024,0.000666024,0.000666024
29,1110.66,1.13077,1.47373,1.46624,0.53171,0.41193,0.37568,0.23289,1.29812,1.62419,1.71729,0.000657025,0.000657025,0.000657025
30,1149.16,1.10011,1.40572,1.43356,0.59286,0.37315,0.38128,0.24266,1.24798,1.54431,1.67906,0.000648026,0.000648026,0.000648026
31,1188.35,1.13936,1.44424,1.45589,0.58364,0.32772,0.36697,0.22914,1.19462,1.62167,1.59268,0.000639027,0.000639027,0.000639027
32,1225.89,1.114,1.38759,1.44207,0.58647,0.37294,0.37873,0.24272,1.2373,1.51693,1.62357,0.000630028,0.000630028,0.000630028
33,1264.32,1.14068,1.43493,1.45398,0.54536,0.41052,0.40757,0.24198,1.31113,1.58905,1.71107,0.000621029,0.000621029,0.000621029
34,1302.01,1.1403,1.42709,1.4553,0.58438,0.36464,0.38595,0.23898,1.26597,1.61066,1.64982,0.00061203,0.00061203,0.00061203
35,1338.56,1.0619,1.32578,1.39499,0.52434,0.41355,0.3899,0.24852,1.22966,1.46427,1.6205,0.000603031,0.000603031,0.000603031
36,1376.54,1.09497,1.37133,1.43108,0.55585,0.32653,0.35767,0.22977,1.24253,1.60669,1.64555,0.000594031,0.000594031,0.000594031
37,1414.58,1.10424,1.36194,1.42867,0.55464,0.35612,0.37757,0.24283,1.21655,1.52178,1.66866,0.000585032,0.000585032,0.000585032
38,1460.25,1.078,1.33025,1.41271,0.51833,0.37561,0.39586,0.25132,1.23251,1.55661,1.63014,0.000576033,0.000576033,0.000576033
39,1505.73,1.03946,1.25409,1.3868,0.48224,0.43465,0.35334,0.22262,1.26369,1.66018,1.65139,0.000567034,0.000567034,0.000567034
40,1551.93,1.07329,1.2759,1.39063,0.54387,0.37829,0.40416,0.25991,1.21884,1.53944,1.60739,0.000558035,0.000558035,0.000558035
41,1598.08,1.04978,1.23748,1.38211,0.54625,0.31695,0.35123,0.22984,1.24773,1.52291,1.67806,0.000549036,0.000549036,0.000549036
42,1644.81,1.07046,1.30147,1.40507,0.64498,0.33875,0.3867,0.24911,1.23581,1.49165,1.65464,0.000540037,0.000540037,0.000540037
43,1691.03,1.03527,1.22745,1.37663,0.61792,0.34121,0.34778,0.22008,1.30557,1.61476,1.75467,0.000531038,0.000531038,0.000531038
44,1736.29,1.03329,1.23829,1.37814,0.60453,0.31977,0.38427,0.25357,1.21349,1.53058,1.65421,0.000522039,0.000522039,0.000522039
45,1781.31,1.0571,1.29682,1.39314,0.68947,0.3329,0.36082,0.22648,1.26382,1.62604,1.64591,0.00051304,0.00051304,0.00051304
46,1825.71,1.03182,1.23833,1.37772,0.37544,0.40708,0.36444,0.24454,1.15488,1.52947,1.58884,0.00050404,0.00050404,0.00050404
