epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.862,1.03255,3.02183,1.39753,0.57195,0.39146,0.36709,0.25725,1.09981,2.7246,1.55372,0.00022725,0.00022725,0.00022725
2,347.82,1.05843,1.61912,1.37511,0.55833,0.32651,0.28906,0.16119,1.4913,2.3436,1.93867,0.000459,0.000459,0.000459
3,513.305,1.11356,1.58444,1.41607,0.61912,0.25614,0.24223,0.10946,1.76739,2.46716,2.27527,0.000686071,0.000686071,0.000686071
4,677.79,1.13475,1.53877,1.44482,0.43292,0.15667,0.16363,0.08392,1.90921,3.173,2.25857,0.000882003,0.000882003,0.000882003
5,830.469,1.2433,1.64995,1.5128,0.23053,0.29361,0.19872,0.11187,1.6817,2.9156,2.15635,0.000873004,0.000873004,0.000873004
6,1003.91,1.22441,1.6546,1.51274,0.54574,0.22343,0.20077,0.09494,1.81141,3.28515,2.4253,0.000864004,0.000864004,0.000864004
7,1180.02,1.21742,1.56696,1.50129,0.55519,0.19559,0.21044,0.11386,1.73658,2.93479,2.07357,0.000855005,0.000855005,0.000855005
8,1354.7,1.19582,1.53749,1.49009,0.72964,0.20627,0.26778,0.13722,1.59383,2.34066,2.03065,0.000846006,0.000846006,0.000846006
9,1518.59,1.16729,1.47052,1.47405,0.5747,0.26291,0.28091,0.14617,1.69147,2.36694,1.99256,0.000837007,0.000837007,0.000837007
10,1715.86,1.16444,1.46062,1.47136,0.56851,0.29815,0.26485,0.1437,1.48919,2.16043,1.90823,0.000828008,0.000828008,0.000828008
11,1897.85,1.15311,1.42598,1.46373,0.22906,0.31481,0.26272,0.16039,1.50083,2.13117,1.90458,0.000819009,0.000819009,0.000819009
12,2070.14,1.08163,1.32492,1.4038,0.55015,0.35129,0.3435,0.20039,1.42959,1.80667,1.80092,0.00081001,0.00081001,0.00081001
13,2259.06,1.07761,1.29368,1.39903,0.50328,0.32269,0.32009,0.17084,1.59032,2.17554,1.98133,0.000801011,0.000801011,0.000801011
14,2427.64,1.06526,1.28636,1.38199,0.44514,0.41478,0.38983,0.23165,1.47032,1.941,1.85156,0.000792012,0.000792012,0.000792012
15,2599.77,1.05468,1.24262,1.38798,0.50161,0.31613,0.28803,0.16823,1.50939,1.99369,1.85191,0.000783013,0.000783013,0.000783013
16,2773.52,1.06049,1.23162,1.38585,0.69858,0.28742,0.32489,0.20442,1.42354,1.76401,1.78235,0.000774013,0.000774013,0.000774013
17,2960.11,1.02256,1.19844,1.362,0.54508,0.30349,0.30759,0.18373,1.45866,1.88207,1.8429,0.000765014,0.000765014,0.000765014
18,3122.96,1.01612,1.16678,1.35304,0.56769,0.30254,0.34873,0.21366,1.42189,1.92781,1.7897,0.000756015,0.000756015,0.000756015
19,3310.55,1.0063,1.12421,1.34815,0.68823,0.31418,0.34838,0.21519,1.34842,1.83123,1.74294,0.000747016,0.000747016,0.000747016
20,3476.46,0.9966,1.08111,1.31835,0.54025,0.31046,0.37197,0.24095,1.34901,1.7654,1.73608,0.000738017,0.000738017,0.000738017
21,3629.96,0.96812,1.07973,1.32643,0.45309,0.36175,0.34879,0.20413,1.50975,1.78866,1.9088,0.000729018,0.000729018,0.000729018
22,3788.44,0.97461,1.01941,1.30798,0.52874,0.3601,0.3486,0.21251,1.4404,1.76707,1.79558,0.000720019,0.000720019,0.000720019
23,3960.75,0.95583,1.03715,1.28735,0.57154,0.38427,0.39101,0.26573,1.32754,1.63954,1.73225,0.00071102,0.00071102,0.00071102
24,4122.59,0.93755,1.01236,1.30025,0.53337,0.30407,0.34121,0.20607,1.35104,1.82266,1.73847,0.000702021,0.000702021,0.000702021
25,4293.49,0.91203,0.96598,1.27402,0.58675,0.39073,0.38479,0.24716,1.2921,1.74983,1.67488,0.000693022,0.000693022,0.000693022
26,4453.25,0.90627,0.94535,1.25694,0.41942,0.37455,0.37499,0.24618,1.28498,1.65072,1.67495,0.000684022,0.000684022,0.000684022
27,4606.87,0.9001,0.94772,1.25094,0.30063,0.4235,0.32418,0.19594,1.34522,1.82888,1.72888,0.000675023,0.000675023,0.000675023
28,4787.61,0.87326,0.89685,1.23611,0.48223,0.37462,0.35212,0.22499,1.30064,1.63667,1.68891,0.000666024,0.000666024,0.000666024
29,4961.71,0.88915,0.92444,1.25189,0.41237,0.34836,0.3612,0.23332,1.37662,1.71895,1.82919,0.000657025,0.000657025,0.000657025
30,5112.4,0.87599,0.88795,1.23123,0.48414,0.32059,0.37013,0.23371,1.33241,1.7785,1.72385,0.000648026,0.000648026,0.000648026
31,5280.02,0.87231,0.9006,1.23657,0.54647,0.39119,0.37778,0.23026,1.38949,1.74525,1.74702,0.000639027,0.000639027,0.000639027
32,5448.72,0.84602,0.84085,1.22153,0.35455,0.34874,0.32158,0.21578,1.34389,1.83046,1.75241,0.000630028,0.000630028,0.000630028
33,5606.68,0.83854,0.83482,1.20725,0.36947,0.38323,0.36568,0.24073,1.32062,1.69013,1.7167,0.000621029,0.000621029,0.000621029
34,5762.06,0.85401,0.83439,1.2195,0.67521,0.31724,0.36759,0.24097,1.32979,1.69582,1.71811,0.00061203,0.00061203,0.00061203
35,5932.19,0.85562,0.83571,1.21756,0.58621,0.32258,0.3613,0.23514,1.33152,1.74216,1.71285,0.000603031,0.000603031,0.000603031
36,6097.21,0.82806,0.82804,1.20992,0.57656,0.3444,0.37179,0.25001,1.27575,1.59016,1.716,0.000594031,0.000594031,0.000594031
37,6252.09,0.81979,0.78761,1.18868,0.52437,0.35014,0.38418,0.24384,1.32604,1.72697,1.74282,0.000585032,0.000585032,0.000585032
38,6408.36,0.78498,0.76885,1.17772,0.55206,0.40574,0.37968,0.252,1.30718,1.6308,1.7078,0.000576033,0.000576033,0.000576033
39,6574.48,0.79781,0.77519,1.1829,0.55118,0.35921,0.37227,0.23734,1.31007,1.60447,1.72092,0.000567034,0.000567034,0.000567034
40,6735.69,0.8217,0.78298,1.196,0.5717,0.31846,0.38396,0.24995,1.27337,1.61749,1.69213,0.000558035,0.000558035,0.000558035
41,6905.85,0.78222,0.71674,1.1733,0.62169,0.32588,0.38314,0.25325,1.33672,1.69904,1.76819,0.000549036,0.000549036,0.000549036
42,7072.86,0.77895,0.72822,1.1744,0.63858,0.3256,0.38402,0.26422,1.23357,1.6371,1.61243,0.000540037,0.000540037,0.000540037
43,7234.9,0.76357,0.71289,1.15806,0.55563,0.34178,0.37104,0.25196,1.22498,1.61175,1.68009,0.000531038,0.000531038,0.000531038
44,7405.71,0.74398,0.6815,1.14953,0.40078,0.40903,0.40508,0.26377,1.30914,1.67725,1.70501,0.000522039,0.000522039,0.000522039
45,7572.2,0.76415,0.68824,1.1504,0.54251,0.36659,0.38058,0.2497,1.25518,1.53301,1.66996,0.00051304,0.00051304,0.00051304
46,7727.42,0.73734,0.67463,1.14037,0.53001,0.34876,0.38649,0.24776,1.31287,1.61952,1.71841,0.00050404,0.00050404,0.00050404
47,7894.18,0.75911,0.6893,1.15016,0.62647,0.35046,0.42732,0.28398,1.31721,1.65715,1.77693,0.000495041,0.000495041,0.000495041
48,8066.56,0.74026,0.66729,1.13133,0.63797,0.38839,0.43873,0.28831,1.26688,1.5945,1.6578,0.000486042,0.000486042,0.000486042
49,8221.67,0.71417,0.65359,1.12632,0.41905,0.49534,0.44398,0.29002,1.29648,1.47881,1.69082,0.000477043,0.000477043,0.000477043
50,8395.36,0.71606,0.64698,1.12391,0.55868,0.37737,0.37965,0.25194,1.25951,1.63692,1.70725,0.000468044,0.000468044,0.000468044
51,8563.78,0.70924,0.6459,1.11805,0.69824,0.35734,0.40695,0.27629,1.25895,1.65239,1.68333,0.000459045,0.000459045,0.000459045
52,8713.22,0.71003,0.63264,1.12286,0.55912,0.33593,0.38247,0.26613,1.22551,1.68692,1.64272,0.000450046,0.000450046,0.000450046
53,8882.79,0.70855,0.62364,1.11708,0.64924,0.34155,0.40586,0.27126,1.21539,1.64137,1.63928,0.000441047,0.000441047,0.000441047
54,9045.93,0.69668,0.61978,1.10677,0.62789,0.38825,0.39347,0.27216,1.2292,1.69494,1.67741,0.000432048,0.000432048,0.000432048
55,9205.56,0.68184,0.62013,1.10616,0.60616,0.41152,0.4276,0.28753,1.20621,1.63352,1.63279,0.000423049,0.000423049,0.000423049
56,9357.2,0.6805,0.6064,1.09653,0.5283,0.38552,0.38861,0.2682,1.24318,1.71963,1.66209,0.000414049,0.000414049,0.000414049
57,9519.15,0.67106,0.58945,1.10034,0.59683,0.3279,0.37662,0.2593,1.25402,1.66865,1.69954,0.00040505,0.00040505,0.00040505
58,9667.06,0.67882,0.58515,1.09733,0.60152,0.41694,0.4044,0.27819,1.27238,1.66342,1.70789,0.000396051,0.000396051,0.000396051
59,9828.36,0.6625,0.58035,1.08971,0.5765,0.34453,0.36815,0.24842,1.27337,1.77038,1.7111,0.000387052,0.000387052,0.000387052
60,9987.5,0.65632,0.56951,1.08068,0.56149,0.38665,0.41633,0.28337,1.27269,1.68626,1.68005,0.000378053,0.000378053,0.000378053
61,10145.7,0.64976,0.56584,1.07781,0.60825,0.34444,0.41281,0.27676,1.24463,1.59978,1.65557,0.000369054,0.000369054,0.000369054
62,10305.5,0.64953,0.56732,1.07548,0.45134,0.42052,0.43047,0.29019,1.23946,1.63545,1.64952,0.000360055,0.000360055,0.000360055
63,10471.5,0.62548,0.53849,1.06155,0.4229,0.4518,0.42589,0.27709,1.25062,1.67855,1.66279,0.000351056,0.000351056,0.000351056
64,10618.1,0.63435,0.54368,1.07489,0.3989,0.45925,0.39718,0.26316,1.23436,1.55711,1.65914,0.000342057,0.000342057,0.000342057
65,10783.6,0.63883,0.54704,1.06657,0.3825,0.42629,0.39479,0.27389,1.28431,1.72423,1.69758,0.000333058,0.000333058,0.000333058
66,10943.4,0.63758,0.54858,1.0702,0.60184,0.38703,0.39779,0.27152,1.21058,1.58302,1.66464,0.000324058,0.000324058,0.000324058
67,11091.3,0.61607,0.54066,1.06602,0.5162,0.45192,0.40024,0.27427,1.25748,1.67902,1.66864,0.000315059,0.000315059,0.000315059
68,11246.7,0.61096,0.52532,1.0491,0.61707,0.37922,0.4025,0.2723,1.26958,1.73071,1.71394,0.00030606,0.00030606,0.00030606
69,11409.2,0.61126,0.52867,1.06717,0.52699,0.40546,0.40413,0.27073,1.23704,1.61372,1.66073,0.000297061,0.000297061,0.000297061
70,11554.3,0.60759,0.51258,1.05287,0.63376,0.40094,0.41526,0.28391,1.26085,1.67285,1.69952,0.000288062,0.000288062,0.000288062
71,11716.2,0.5809,0.49426,1.04639,0.63517,0.40439,0.40275,0.27797,1.22126,1.64259,1.69743,0.000279063,0.000279063,0.000279063
72,11882.9,0.59813,0.50881,1.04635,0.61453,0.38899,0.39586,0.2689,1.25584,1.6875,1.7226,0.000270064,0.000270064,0.000270064
73,12043.9,0.57971,0.49056,1.04315,0.64942,0.40651,0.42486,0.29238,1.26807,1.63992,1.72683,0.000261065,0.000261065,0.000261065
